Country,Currency,Arrival,Departure
USA,USD,2013-08-27,2013-09-11
Thailand,THB,2013-09-11,2013-09-27
Laos,LAK,2013-09-27,2013-10-14
Philippines,PHP,2013-10-14,2013-10-28
Myanmar,MMK,2013-10-28,2013-11-14
Indonesia,IDR,2013-11-14,2013-12-15
Singapore,SGD,2013-12-15,2013-12-18
Australia,AUD,2013-12-18,2014-01-01
New Zealand,NZD,2014-01-01,2014-02-21
India,INR,2014-02-21,2014-03-27
Nepal,NPR,2014-03-27,2014-04-28
Jordan,JOD,2014-04-29,2014-05-18
West Bank,ILS,2014-05-18,2014-05-21
Israel,ILS,2014-05-21,2014-05-24
West Bank,ILS,2014-05-24,2014-05-26
Israel,ILS,2014-05-26,2014-05-29
Egypt,EGP,2014-05-29,2014-06-20
Turkey,TRY,2014-06-20,2014-07-11
Germany,EUR,2014-07-11,2014-07-18
Czech Republic,CZK,2014-07-18,2014-07-25
England,GBP,2014-07-25,2014-07-30
France,EUR,2014-07-30,2014-08-23
Norway,NOK,2014-08-23,2014-09-06
Sweden,SEK,2014-09-07,2014-09-08
South Africa,ZAR,2014-09-09,2014-09-24
Namibia,NAD,2014-09-24,2014-10-01
South Africa,ZAR,2014-10-02,2014-10-08
