"","Country","Tag","StandardizedAmount"
"1","Thailand","Transit",0.984845882352941
"2","Thailand","Food",7.81923294117647
"3","Thailand","Sim",0.218047058823529
"4","Thailand","Taxi",0.672311764705882
"5","Thailand","Massage",1.8534
"6","Thailand","Bus",4.39546529411765
"7","Thailand","Accommodation",2.90729411764706
"8","Thailand","Internet",0.152632941176471
"9","Thailand","Laundry",0.0908529411764706
"10","Thailand","Tour",1.27194117647059
"11","Thailand","Supplies",0.272558823529412
"12","Thailand","Rental",1.09023529411765
"13","Thailand","Alcohol",0.472435294117647
"14","Thailand","Fees",0
"15","Thailand","Gas",0
"16","Thailand","Entry",0
"17","Thailand","ATM",0
"18","Thailand","Gym",0
"19","Thailand","Bathroom",0
"20","Thailand","Gambling",0
"21","Thailand","Tip",0
"22","Thailand","Gift",0
"23","Thailand","",0
"24","Laos","Transit",0.444472777777778
"25","Laos","Food",8.90748944444444
"26","Laos","Sim",0
"27","Laos","Taxi",1.49734611111111
"28","Laos","Massage",1.39952777777778
"29","Laos","Bus",3.16594444444444
"30","Laos","Accommodation",4.70116666666667
"31","Laos","Internet",0.2105
"32","Laos","Laundry",0.0865666666666667
"33","Laos","Tour",0
"34","Laos","Supplies",0.140333333333333
"35","Laos","Rental",0.806916666666667
"36","Laos","Alcohol",0
"37","Laos","Fees",2.21025
"38","Laos","Gas",0.272888888888889
"39","Laos","Entry",0.350833333333333
"40","Laos","ATM",0.421
"41","Laos","Gym",0.700144444444444
"42","Laos","Bathroom",0.0140333333333333
"43","Laos","Gambling",0
"44","Laos","Tip",0
"45","Laos","Gift",0
"46","Laos","",0
"47","Philippines","Transit",0.122289333333333
"48","Philippines","Food",10.8994096666667
"49","Philippines","Sim",0
"50","Philippines","Taxi",1.19306666666667
"51","Philippines","Massage",1.10358666666667
"52","Philippines","Bus",3.72833333333333
"53","Philippines","Accommodation",8.939052
"54","Philippines","Internet",0.164046666666667
"55","Philippines","Laundry",0.0596533333333333
"56","Philippines","Tour",0.969366666666667
"57","Philippines","Supplies",0.0596533333333333
"58","Philippines","Rental",0.372833333333333
"59","Philippines","Alcohol",0.432486666666667
"60","Philippines","Fees",0.924626666666667
"61","Philippines","Gas",0
"62","Philippines","Entry",0
"63","Philippines","ATM",0.8948
"64","Philippines","Gym",0.17896
"65","Philippines","Bathroom",0
"66","Philippines","Gambling",11.9306666666667
"67","Philippines","Tip",0
"68","Philippines","Gift",0
"69","Philippines","",0
"70","Myanmar","Transit",0.0114222222222222
"71","Myanmar","Food",5.4998
"72","Myanmar","Sim",0
"73","Myanmar","Taxi",1.86088888888889
"74","Myanmar","Massage",0
"75","Myanmar","Bus",2.58455555555556
"76","Myanmar","Accommodation",5.94444444444444
"77","Myanmar","Internet",0.314111111111111
"78","Myanmar","Laundry",0.165622222222222
"79","Myanmar","Tour",1.71333333333333
"80","Myanmar","Supplies",0.257
"81","Myanmar","Rental",2.17022222222222
"82","Myanmar","Alcohol",0
"83","Myanmar","Fees",0.0571111111111111
"84","Myanmar","Gas",0.388355555555556
"85","Myanmar","Entry",0.00571111111111111
"86","Myanmar","ATM",0.285555555555556
"87","Myanmar","Gym",0
"88","Myanmar","Bathroom",0.0171333333333333
"89","Myanmar","Gambling",0
"90","Myanmar","Tip",0.114222222222222
"91","Myanmar","Gift",0.294122222222222
"92","Myanmar","",0
"93","Indonesia","Transit",0
"94","Indonesia","Food",7.395834825
"95","Indonesia","Sim",0
"96","Indonesia","Taxi",1.526546875
"97","Indonesia","Massage",0.513125
"98","Indonesia","Bus",0.982634375
"99","Indonesia","Accommodation",5.028625
"100","Indonesia","Internet",0.171896875
"101","Indonesia","Laundry",0.0513125
"102","Indonesia","Tour",3.20703125
"103","Indonesia","Supplies",1.1511959375
"104","Indonesia","Rental",0.38484375
"105","Indonesia","Alcohol",0.130846875
"106","Indonesia","Fees",2.2769921875
"107","Indonesia","Gas",0.2565625
"108","Indonesia","Entry",0.346359375
"109","Indonesia","ATM",0.07696875
"110","Indonesia","Gym",0.02565625
"111","Indonesia","Bathroom",0
"112","Indonesia","Gambling",0
"113","Indonesia","Tip",0.02565625
"114","Indonesia","Gift",0.012828125
"115","Indonesia","",0
"116","Singapore","Transit",0
"117","Singapore","Food",19.753275
"118","Singapore","Sim",0
"119","Singapore","Taxi",0
"120","Singapore","Massage",0
"121","Singapore","Bus",0
"122","Singapore","Accommodation",11.20335
"123","Singapore","Internet",0
"124","Singapore","Laundry",0
"125","Singapore","Tour",0
"126","Singapore","Supplies",9.19854
"127","Singapore","Rental",0
"128","Singapore","Alcohol",0
"129","Singapore","Fees",0
"130","Singapore","Gas",0
"131","Singapore","Entry",0
"132","Singapore","ATM",0
"133","Singapore","Gym",0
"134","Singapore","Bathroom",0
"135","Singapore","Gambling",0
"136","Singapore","Tip",0
"137","Singapore","Gift",0
"138","Singapore","",0
"139","Australia","Transit",4.9504
"140","Australia","Food",32.43968
"141","Australia","Sim",0.5824
"142","Australia","Taxi",0
"143","Australia","Massage",0
"144","Australia","Bus",0
"145","Australia","Accommodation",12.1331392
"146","Australia","Internet",0.69888
"147","Australia","Laundry",0.396032
"148","Australia","Tour",0
"149","Australia","Supplies",2.4367616
"150","Australia","Rental",1.04832
"151","Australia","Alcohol",4.068064
"152","Australia","Fees",0
"153","Australia","Gas",0.2912
"154","Australia","Entry",0
"155","Australia","ATM",0.11648
"156","Australia","Gym",0
"157","Australia","Bathroom",0
"158","Australia","Gambling",0
"159","Australia","Tip",0
"160","Australia","Gift",0
"161","Australia","",0
"162","New Zealand","Transit",0.468875
"163","New Zealand","Food",24.435345
"164","New Zealand","Sim",0.605
"165","New Zealand","Taxi",1.5125
"166","New Zealand","Massage",0
"167","New Zealand","Bus",11.6834575
"168","New Zealand","Accommodation",14.5499475
"169","New Zealand","Internet",0.075625
"170","New Zealand","Laundry",0.4764375
"171","New Zealand","Tour",0
"172","New Zealand","Supplies",13.04395125
"173","New Zealand","Rental",2.662
"174","New Zealand","Alcohol",0
"175","New Zealand","Fees",0.2798125
"176","New Zealand","Gas",0.9075
"177","New Zealand","Entry",0
"178","New Zealand","ATM",0
"179","New Zealand","Gym",0.529375
"180","New Zealand","Bathroom",0
"181","New Zealand","Gambling",0
"182","New Zealand","Tip",0
"183","New Zealand","Gift",0
"184","New Zealand","",0
"185","India","Transit",0.013572
"186","India","Food",7.17159057142857
"187","India","Sim",0.1404
"188","India","Taxi",1.278576
"189","India","Massage",0
"190","India","Bus",3.38421371428571
"191","India","Accommodation",7.414056
"192","India","Internet",0.2106
"193","India","Laundry",0.27144
"194","India","Tour",2.8548
"195","India","Supplies",0.158652
"196","India","Rental",0
"197","India","Alcohol",0
"198","India","Fees",0.756405714285714
"199","India","Gas",0
"200","India","Entry",0.6084
"201","India","ATM",0.118057142857143
"202","India","Gym",0.5148
"203","India","Bathroom",0
"204","India","Gambling",0.1404
"205","India","Tip",0.01872
"206","India","Gift",0.073476
"207","India","",0
"208","Nepal","Transit",0.00469545454545455
"209","Nepal","Food",13.6841196969697
"210","Nepal","Sim",0
